train_loss,val_loss,val_accuracy,epoch
0.8264673824310302,0.7237810666048075,0.5144,1
0.8330658159255981,0.7617927201186554,0.505,2
0.8318441336631774,0.7407424661177623,0.5008,3
0.8456446138381958,0.7222866106636917,0.5114,4
0.8535326208114624,0.7473886465724511,0.5008,5
0.8487236857414245,0.7431113689760619,0.4954,6
0.8489240905761719,0.7271604296527331,0.5118,7
0.8404555114746094,0.740598400936851,0.5116,8
0.8385994383811951,0.7196390538275996,0.5136,9
0.8429530844688415,0.7358014311971544,0.5036,10
